POINT_ID,longitude,latitude
45742174,13.075272837,42.625423558
45742180,13.078058736,42.679555008
45742184,13.079919773,42.715641164
45742188,13.081783834,42.751726141
45742194,13.084585612,42.805851405
45742202,13.088331965,42.878014333
45742204,13.08927046,42.896054337
45742206,13.090209721,42.914094051
45742208,13.091149746,42.932133476
45742212,13.093032098,42.968211457
45742216,13.094917522,43.004288285
45742218,13.095861389,43.022326267
45742220,13.096806026,43.040363963
45742224,13.098697616,43.076438494
45742230,13.101540803,43.130548148
45742236,13.104390973,43.184655242
45742238,13.105342586,43.202690373
45742244,13.108202106,43.256794073
45742246,13.109156842,43.274828076
45742248,13.110112362,43.292861798
45742252,13.112025753,43.328928401
45742268,13.119710819,43.473183664
45742270,13.120675011,43.491214325
45742282,13.126476865,43.599392515
45742286,13.128417201,43.635449723
45742288,13.12938857,43.653477918
45742290,13.130360741,43.671505842
45742522,13.248832709,45.761017358
45742524,13.249905486,45.779016494
45742526,13.250979186,45.79701541
45742532,13.254205824,45.851010839
45742536,13.256361544,45.887006697
45742544,13.260684133,45.958995802
45742546,13.26176711,45.976992537
45742550,13.263935865,46.01298536
45742556,13.267196023,46.066972983
45742562,13.270464637,46.120958685
45742564,13.27155606,46.138953493
45742568,13.273741739,46.174942475
45742570,13.274835998,46.192936649
45742572,13.275931205,46.210930613
45742574,13.27702736,46.228924366
45742588,13.284727111,46.354874792
45742598,13.290255655,46.444833172
45742608,13.2958083,46.534786438
45761622,12.867733689,37.631665942
45761642,12.875300841,37.813074939
45761644,12.876060693,37.831213539
45761664,12.883690799,38.012576728
45762026,13.032403904,41.288584118
45762028,13.033285219,41.306651145
45762030,13.034167234,41.324717842
45762032,13.035049948,41.34278421
45762034,13.035933363,41.36085025
45762040,13.038587821,41.415046404
45762042,13.039474047,41.433111135
45762054,13.044806227,41.541492683
45762056,13.045697401,41.559555139
45762062,13.048375187,41.613740571
45762066,13.050163937,41.649862583
45762068,13.051059383,41.667923107
45762074,13.053750012,41.722102759
45762076,13.054648321,41.740162004
45762086,13.059150649,41.830453459
45762094,13.062765498,41.902680923
45762098,13.064577269,41.938792766
45762104,13.067300376,41.992958177
45762108,13.069119424,42.029066888
45762114,13.071853477,42.083227619
45762122,13.075509146,42.155437585
45762124,13.076424902,42.173489304
45762126,13.077341395,42.191540716
45762134,13.081014752,42.263743289
45762136,13.081934942,42.281793167
45762138,13.082855874,42.299842739
45762142,13.084699967,42.335940969
45762144,13.085623129,42.353989628
45762146,13.086547037,42.372037983
45762152,13.089323241,42.426181231
45762160,13.093035329,42.498368005
45762170,13.097692363,42.588594723
45762174,13.099560463,42.624683322
45762176,13.10049565,42.642727176
45762178,13.101431595,42.660770733
45762180,13.1023683,42.678813994
45762184,13.104243991,42.71489963
45762190,13.107063245,42.769025874
45762192,13.108004525,42.787067368
45762194,13.10894657,42.805108568
45762196,13.109889381,42.823149476
45762198,13.11083296,42.841190092
45762202,13.112722422,42.877270449
45762204,13.113668307,42.895310191
45762208,13.115562391,42.931388805
45762218,13.120311132,43.02158028
45762220,13.121263207,43.039617711
45762226,13.124124102,43.093728285
45762230,13.126035265,43.129800573
45762232,13.126992019,43.14783629
45762238,13.129866983,43.201941736
45762248,13.134674313,43.292111827
45762252,13.13660277,43.328177895
45762256,13.138534394,43.364242844
45762266,13.143377359,43.454400341
45762268,13.144348344,43.472431009
45762272,13.14629271,43.508491515
45762276,13.148240281,43.544550919
45762278,13.14921527,43.562580209
45762280,13.150191063,43.580609225
45762282,13.15116766,43.598637967
45762284,13.152145063,43.616666436
45762286,13.153123272,43.634694632
45762290,13.155082114,43.670750208
45762292,13.156062749,43.688777588
45762294,13.157044194,43.706804697
45762522,13.274486643,45.760228521
45762524,13.275567863,45.778227356
45762526,13.276650013,45.796225971
45762538,13.283162476,45.904213046
45762540,13.284251158,45.922210127
45762542,13.285340778,45.940206991
45762546,13.287522836,45.976200068
45762548,13.288615277,45.994196283
45762552,13.290802986,46.030188066
45762554,13.291898257,46.048183635
45762556,13.292994474,46.06617899
45762564,13.297388822,46.138158275
45762570,13.300694571,46.19214051
45762572,13.301798396,46.210134166
45762578,13.305115614,46.264113872
45762580,13.306223271,46.282106689
45762584,13.308441469,46.318091697
45762586,13.309552013,46.336083889
45762590,13.311775994,46.372067651
45762592,13.312889435,46.390059222
45762594,13.314003843,46.408050587
45762596,13.315119221,46.426041746
45762600,13.317352889,46.462023449
45762604,13.319590448,46.498004334
45762608,13.321831908,46.533984405
45762610,13.322954103,46.551974136
45781618,12.888690704,37.594697952
45781636,12.895541486,37.757973602
45781646,12.899367566,37.848667638
45781648,12.900134512,37.866805196
45781650,12.900902037,37.884942338
45781652,12.90167014,37.903079065
45781654,12.902438823,37.921215377
45782020,13.053505919,41.233654472
45782024,13.055278806,41.269789686
45782026,13.056166303,41.287856797
45782028,13.057054505,41.305923578
45782032,13.058833023,41.342056152
45782034,13.05972334,41.360121946
45782038,13.061506098,41.396252549
45782040,13.062398539,41.41431736
45782042,13.06329169,41.432381843
45782046,13.065080122,41.468509832
45782052,13.067768109,41.522699374
45782054,13.068665532,41.540761905
45782058,13.070462522,41.576885998
45782066,13.074065104,41.649130312
45782076,13.078584526,41.739428483
45782088,13.084031711,41.847775769
45782090,13.084942119,41.865832541
45782100,13.08950511,41.956111672
45782102,13.090419904,41.974166555
45782104,13.091335432,41.992221126
45782106,13.092251694,42.010275384
45782108,13.093168692,42.02832933
45782126,13.101454899,42.190800863
45782132,13.104230322,42.244952484
45782136,13.106084333,42.281052032
45782140,13.107941335,42.317150357
45782142,13.10887096,42.335199063
45782144,13.109801335,42.353247464
45782146,13.110732461,42.371295561
45782152,13.113530353,42.425438034
45782154,13.114464491,42.44348492
45782158,13.116335035,42.479577789
45782168,13.121024653,42.569804704
45782182,13.127622111,42.696109858
45782184,13.128567667,42.714152267
45782188,13.130461083,42.750236198
45782190,13.131408945,42.768277723
45782192,13.132357578,42.786318954
45782194,13.133306982,42.804359891
45782196,13.134257159,42.822400536
45782198,13.135208108,42.840440888
45782202,13.137112331,42.876520717
45782204,13.138065605,42.894560195
45782206,13.139019656,42.912599382
45782208,13.139974485,42.930638279
45782212,13.141886478,42.966715205
45782218,13.144760322,43.020828427
45782222,13.14668013,43.056902471
45782224,13.147641211,43.074939062
45782226,13.148603077,43.092975367
45782230,13.150529169,43.129047121
45782232,13.151493397,43.14708257
45782234,13.152458414,43.165117735
45782236,13.153424221,43.183152615
45782240,13.155358208,43.219221526
45782246,13.158265135,43.273322774
45782248,13.159235701,43.29135596
45782254,13.162152178,43.345453833
45782262,13.166052003,43.417580417
45782264,13.167028964,43.435611368
45782270,13.169964671,43.489702556
45782272,13.170944851,43.507732399
45782276,13.172907634,43.543791258
45782280,13.174873653,43.579849019
45782282,13.175857879,43.597877488
45782284,13.176842916,43.615905683
45782286,13.177828766,43.633933606
45782292,13.180791202,43.688015739
45782294,13.181780313,43.706042573
45782296,13.18277024,43.724069137
45782298,13.183760987,43.74209543
45782522,13.300139904,45.759433484
45782528,13.3034117,45.813428416
45782530,13.304504174,45.831426286
45782532,13.305597587,45.849423936
45782536,13.307787237,45.885418579
45782538,13.308883475,45.903415573
45782540,13.309980657,45.921412348
45782546,13.313277879,45.975401371
45782548,13.314378849,45.993397279
45782556,13.318792236,46.065378756
45782560,13.321004651,46.101368208
45782562,13.322112293,46.119362614
45782564,13.323220892,46.137356807
45782572,13.327664893,46.209331459
45782576,13.329892671,46.245317519
45782580,13.332124313,46.281302739
45782582,13.333241586,46.299295036
45782586,13.335479042,46.335279004
45782588,13.336599227,46.353270676
45782590,13.337720385,46.371262141
45782594,13.339965627,46.407244451
45782596,13.341089712,46.425235296
45782606,13.346724832,46.51518645
45801618,12.911153947,37.594011486
45801622,12.912684118,37.630297488
45801626,12.91421659,37.666581804
45801630,12.915751367,37.702864437
45801632,12.916519621,37.721005123
45801636,12.918057865,37.757285239
45801644,12.921141307,37.829840454
45801656,12.925783926,37.938660788
45802020,13.077247198,41.232922218
